Analysis,Group,Type,Distance,Time,Subject
Cue,Cosine,Sim,0.007301673,250,7
Cue,Cosine,Sim,0.007691073,250,8
Cue,Cosine,Sim,0.038402571,250,9
Cue,Cosine,Sim,0.040134663,250,10
Cue,Cosine,Sim,0.015802676,250,11
Cue,Cosine,Sim,0.042449349,250,12
Cue,Cosine,Sim,0.010170779,250,13
Cue,Cosine,Sim,0.040456674,300,1
Cue,Cosine,Sim,0.025748682,300,2
Cue,Cosine,Sim,0.014188791,300,3
Cue,Cosine,Sim,0.027284695,300,4
Cue,Cosine,Sim,0.02463792,300,5
Cue,Cosine,Sim,0.013037128,300,6
Cue,Cosine,Sim,0.010225391,300,7
Cue,Cosine,Sim,0.003985999,300,8
Cue,Cosine,Sim,0.034765328,300,9
Cue,Cosine,Sim,0.008364685,300,10
Cue,Cosine,Sim,0.008715797,300,11
Cue,Cosine,Sim,0.035636777,300,12
Cue,Cosine,Sim,0.017731786,300,13
Response,Cosine,Real,0.015079675,50,1
Response,Cosine,Real,0.089781527,50,2
Response,Cosine,Real,NaN,50,3
Response,Cosine,Real,0.121696687,50,4
Response,Cosine,Real,0.347069858,50,5
Response,Cosine,Real,0.005642501,50,6
Response,Cosine,Real,NaN,50,7
Response,Cosine,Real,0.156073057,50,8
Response,Cosine,Real,NaN,50,9
Response,Cosine,Real,0.050879443,50,10
Response,Cosine,Real,0.008123225,50,11
Response,Cosine,Real,5.12E-05,50,12
Response,Cosine,Real,0.00046318,50,13
Response,Cosine,Real,0.025106137,100,1
Response,Cosine,Real,0.029345215,100,2
Response,Cosine,Real,8.81E-05,100,3
Response,Cosine,Real,0.078988254,100,4
Response,Cosine,Real,NaN,100,5
Response,Cosine,Real,0.153143751,100,6
Response,Cosine,Real,0.148814502,100,7
Response,Cosine,Real,0.235948388,100,8
Response,Cosine,Real,0.618379175,100,9
Response,Cosine,Real,0.2034771,100,10
Response,Cosine,Real,0.010659712,100,11
Response,Cosine,Real,0.067682433,100,12
Response,Cosine,Real,NaN,100,13
Response,Cosine,Real,NaN,150,1
Response,Cosine,Real,0.052254462,150,2
Response,Cosine,Real,0.014833475,150,3
Response,Cosine,Real,0.063414676,150,4
Response,Cosine,Real,0.186729963,150,5
Response,Cosine,Real,0.059646186,150,6
Response,Cosine,Real,0.000475484,150,7
Response,Cosine,Real,0.173674339,150,8
Response,Cosine,Real,0.000605547,150,9
Response,Cosine,Real,0.178018664,150,10
Response,Cosine,Real,NaN,150,11
Response,Cosine,Real,0.009860492,150,12
Response,Cosine,Real,0.003983267,150,13
Response,Cosine,Real,0.006909349,200,1
Response,Cosine,Real,0.08473824,200,2
Response,Cosine,Real,0.020073887,200,3
